k,r,s,t,,,,
100,2,22,1909669855259,,,,
100,3,28,1913172737119,,,,
200,2,25,950494982083,,,,
200,3,28,959205024017,,,,
300,2,28,634001892323,,,,
300,3,28,648030690176,,,,
500,2,25,387448523879,,,,
500,3,26,405942807094,,,,
500,4,25,379309265339,,,,
500,10,41,194496332536,,,,
800,2,23,244701557939,,,,
800,3,25,246546511558,,,,
800,4,29,236242369070,,,,
800,5,32,242338703278,,,,
1000,2,29,206884064317,,,,
1000,3,25,1469222554206,,,,
1000,4,25,246906064861,,,,
1000,5,26,204908370804,,,,
1000,6,37,206273323990,,,,