k,r,size,time,,,,,
5,1,837,388574666092,,,,,
5,2,721,409249200021,,,,,
5,3,600,389499747860,,,,,
5,4,553,394132966079,,,,,
5,5,553,399924021221,,,,,
10,1,1019,192935959750,,,,,
10,2,990,185561978060,,,,,
10,3,801,196548016036,,,,,
10,4,742,198878880237,,,,,
10,5,681,204735999710,,,,,
10,6,594,200204487258,,,,,
10,7,563,190910262126,,,,,
10,8,524,189840406675,,,,,
10,9,502,190590667651,,,,,
10,10,502,199064931730,,,,,
15,1,1033,121899895053,,,,,
15,2,1013,127445461980,,,,,
15,3,910,137710787665,,,,,
15,4,859,130496191884,,,,,
15,5,802,167233391747,,,,,
15,6,768,135289538281,,,,,
15,7,741,151037618203,,,,,
15,8,679,146379023875,,,,,
15,9,571,154180096704,,,,,
15,10,496,147492840378,,,,,
15,11,487,146933197536,,,,,
15,12,465,161542696564,,,,,
15,13,458,143595565708,,,,,
15,14,458,172459553055,,,,,
15,15,458,142866137729,,,,,